cod_geo_id,parent_cod_geo_id,nivel,descripcion
01,NULL,1,Bocas del Toro
0101,01,2,Bocas del Toro
010101,0101,3,Bocas del Toro (Cabecera)
010102,0101,3,Bastimentos
010103,0101,3,Cauchero
010104,0101,3,Punta Laurel
010105,0101,3,Tierra Oscura
0102,01,2,Changuinola
010201,0102,3,Changuinola (Cabecera)
010202,0102,3,Almirante
010203,0102,3,Guabito
010204,0102,3,Teribe
010205,0102,3,Valle del Risco
010206,0102,3,El Empalme
010207,0102,3,Las Tablas
0103,01,2,Chiriquí Grande
010301,0103,3,Chiriquí Grande (Cabecera)
010302,0103,3,Miramar
010303,0103,3,Punta Peña
010304,0103,3,Punta Robalo
010305,0103,3,Rambala
02,NULL,1,Coclé
0201,02,2,Aguadulce
020101,0201,3,Aguadulce (Cabecera)
020102,0201,3,El Cristo
020103,0201,3,El Roble
020104,0201,3,Pocrí
020105,0201,3,Barrios Unidos
0202,02,2,Antón
020201,0202,3,Antón (Cabecera)
020202,0202,3,Cabuya
020203,0202,3,El Chirú
020204,0202,3,El Retiro
020205,0202,3,El Valle
020206,0202,3,Juan Díaz
020207,0202,3,Río Hato
020208,0202,3,San Juan de Dios
020209,0202,3,Santa Rita
020210,0202,3,Caballero
0203,02,2,La Pintada
020301,0203,3,La Pintada (Cabecera)
020302,0203,3,El Harino
020303,0203,3,El Potrero
020304,0203,3,Llano Grande
020305,0203,3,Piedras Gordas
020306,0203,3,Las Lomas
0204,02,2,Natá
020401,0204,3,Natá (Cabecera)
020402,0204,3,Capellanía
020403,0204,3,El Caño
020404,0204,3,Guzmán
020405,0204,3,Las Huacas
020406,0204,3,Toza
0205,02,2,Olá
020501,0205,3,Olá (Cabecera)
020502,0205,3,El Copé
020503,0205,3,El Palmar
020504,0205,3,El Picacho
020505,0205,3,La Pava
0206,02,2,Penonomé
020601,0206,3,Penonomé (Cabecera)
020602,0206,3,Cañaveral
020603,0206,3,Coclé
020604,0206,3,Chiguiri Arriba
020605,0206,3,El Coco
020606,0206,3,Pajonal
020607,0206,3,Río Grande
020608,0206,3,Río Indio
020609,0206,3,Toabré
020610,0206,3,Tulú
03,NULL,1,Colón
0301,03,2,Colón
030101,0301,3,Barrio Norte
030102,0301,3,Barrio Sur
030103,0301,3,Buena Vista
030104,0301,3,Cativá
030105,0301,3,Ciricito
030106,0301,3,Cristóbal
030107,0301,3,Escobal
030108,0301,3,Limón
030109,0301,3,Nueva Providencia
030110,0301,3,Puerto Pilón
030111,0301,3,Sabanitas
030112,0301,3,Salamanca
030113,0301,3,San Juan
030114,0301,3,Santa Rosa
0302,03,2,Chagres
030201,0302,3,Nuevo Chagres (Cabecera)
030202,0302,3,Achiote
030203,0302,3,El Guabo
030204,0302,3,La Encantada
030205,0302,3,Palma Bellas
030206,0302,3,Piña
030207,0302,3,Salud
0303,03,2,Donoso
030301,0303,3,Miguel de la Borda
030302,0303,3,Coclé del Norte
030303,0303,3,El Guácimo
030304,0303,3,Gobea
030305,0303,3,Río Indio
030306,0303,3,San José del General
0304,03,2,Portobelo
030401,0304,3,Portobelo (Cabecera)
030402,0304,3,Cacique
030403,0304,3,Garrote
030404,0304,3,Isla Grande
030405,0304,3,María Chiquita
0305,03,2,Santa Isabel
030501,0305,3,Palenque
030502,0305,3,Cuango
030503,0305,3,Miramar
030504,0305,3,Nombre de Dios
030505,0305,3,Palmira
030506,0305,3,Playa Chiquita
030507,0305,3,Santa Isabel
030508,0305,3,Viento Frío
04,NULL,1,Chiriquí
0401,04,2,Alanje
040101,0401,3,Alanje (Cabecera)
040102,0401,3,Divalá
040103,0401,3,Tejar
040104,0401,3,Guarumal
