id,name,district_id
1,Bocas del Toro (Cabecera),1
2,Bastimentos,1
3,Cauchero,1
4,"Punta Laurel ",1
5,Tierra Oscura,1
6,Changuinola (Cabecera),2
7,Almirante,2
8,Guabito,2
9,Teribe,2
10,Valle del Risco,2
11,El Empalme,2
12,Las Tablas,2
13,Cochigró,2
14,La Gloria,2
15,Las Delicias.,2
16,Nance del Risco,2
17,Valle de Agua Arriba,2
18,Chiriquí Grande (Cabecera),3
19,Miramar,3
20,Punta Peña,3
21,Punta Robalo,3
22,Rambala,3
23,Bajo Cedro,3
24,Aguadulce (Cabecera),4
25,El Cristo,4
26,El Roble,4
27,Pocrí,4
28,Barrios Unidos,4
29,Antón (Cabecera),5
30,Cabuya,5
31,El Chirú,5
32,El Retiro,5
33,El Valle,5
34,Juan Díaz,5
35,Río Hato,5
36,San Juan de Dios,5
37,Santa Rita,5
38,Caballero,5
39,La Pintada (Cabecera),6
40,El Harino,6
41,El Potrero,6
42,Llano Grande,6
43,Piedras Gordas,6
44,Las Lomas,6
45,Llano Norte,6
46,Natá (Cabecera),7
47,Capellanía,7
48,El Caño,7
49,Guzmán,7
50,Las Huacas,7
51,Toza,7
52,Olá (Cabecera),8
53,El Copé,8
54,El Palmar,8
55,El Picacho,8
56,La Pava,8
57,Penonomé (Cabecera),9
58,Cañaveral,9
59,Coclé,9
60,Chiguirí Arriba,9
61,El Coco,9
62,Pajona,9
63,Río Grande,9
64,Río Indio,9
65,Toabré,9
66,Tulú,9
67,Barrio Norte,10
68,Barrio Sur,10
69,Buena Vista,10
70,Cativá,10
71,Ciricito,10
72,Cristóbal,10
73,Escobal,10
74,Limón,10
75,Nueva Providencia,10
76,Puerto Pilón,10
77,Sabanitas,10
78,Salamanca,10
79,San Juan,10
80,Santa Rosa,10
81,Nuevo Chagres (Cabecera),11
82,Achiote,11
83,El Guabo,11
84,La Encantada,11
85,Palmas Bellas.,11
86,Piña,11
87,Salud,11
88,Miguel de la Borda (Cabecera),12
89,Coclé del Norte,12
90,El Guásimo,12
91,Gobea,12
92,Río Indio,12
93,San José del General,12
94,Portobelo (Cabecera),13
95,Cacique,13
96,Puerto Lindo o Garrote,13
97,Isla Grande,13
98,María Chiquita,13
99,Palenque (Cabecera),14
100,Cuango,14
101,Miramar,14
102,Nombre de Dios,14
103,Palmira,14
104,Playa Chiquita,14
105,Santa Isabel,14
106,Viento Frío,14
107,Alanje (Cabecera),15
108,Divalá,15
109,El Tejar,15
110,Guarumal,15
111,Palo Grande,15
112,Querévalo,15
113,Santo Tomás,15
114,Canta Gallo,15
115,Nuevo México,15
116,Puerto Armuelles (Cabecera,16
117,Limones,16
118,Progreso,16
119,Baco,16
120,Rodolfo Aguilar Delgado,16
121,Boquerón (Cabecera),17
122,Bágala,17
123,Cordillera,17
124,Guabal,17
125,Guayabal,17
126,Paraíso,17
127,Pedregal,17
128,Tijeras,17
129,Bajo Boquete (Cabecera),18
130,Caldera,18
131,Palmira,18
132,Alto Boquete,18
133,Jaramillo,18
134,Los Naranjos,18
135,La Concepción (Cabecera),19
136,Aserrío de Gariché,19
137,Bugaba,19
138,Cerro Punta,19
139,Gómez,19
140,La Estrella,19
141,San Andrés,19
142,Santa Marta,19
143,Santa Rosa,19
144,Santo Domingo,19
145,Sortová,19
146,Volcán,19
147,El Bongo,19
148,David (Cabecera,20
149,Bijagual,20
150,Cochea,20
151,Chiriquí,20
152,Guacá,20
153,Las Lomas,20
154,Pedrega,20
155,San Carlos,20
156,San Pablo Nuevo,20
157,San Pablo Viejo,20
158,Dolega (Cabecera),21
159,Dos Ríos,21
160,Los Anastacios,21
161,Potrerillos,21
162,Potrerillos Abajo,21
163,Rovira,21
164,Tinajas,21
165,Los Algarrobos,21
166,Gualaca (Cabecera),22
167,Hornito,22
168,Los Ángeles,22
169,Paja de Sombrero,22
170,Rincón,22
171,Remedios (Cabecera),23
172,El Nancito,23
173,El Porvenir,23
174,El Puerto,23
175,Santa Lucía,23
176,Río Sereno (Cabecera,24
177,Breñón,24
178,Cañas Gordas,24
179,Monte Lirio,24
180,Plaza Caisán,24
181,Santa Cruz,24
182,Dominical,24
183,Santa Clara,24
184,Las Lajas (Cabecera),25
185,Juay,25
186,Lajas Adentro,25
187,San Félix,25
188,Santa Cruz,25
189,Horconcitos (Cabecera),26
190,Boca Chica,26
191,Boca del Monte,26
192,San Juan,26
193,San Lorenzo,26
194,Tolé (Cabecera),27
195,Bella Vista,27
196,Cerro Viejo,27
197,El Cristo,27
198,Justo Fidel,27
199,Lajas de Tolé,27
200,Potrero de Caña,27
201,Quebrada de Piedra,27
202,Veladero,27
203,La Palma (Cabecera),28
204,Camoganti,28
205,Chepigana,28
206,Garachiné,28
207,Jaqué,28
208,Puerto Piña,28
209,Río Congo,28
210,Río Iglesias,28
211,Sambú,28
212,Setegantí,28
213,Taimatí,28
214,Tucutí,28
215," Agua Fría",28
216,Cucunatí,28
217,Río Congo Arriba,28
218,Santa Fe,28
219,Pinogana,28
220,Boca de Cupé,29
221,Paya,29
222,Pinogana,29
223,Púcuro,29
224,Yape,29
225,Yaviza,29
226,Metetí,29
227,Comarca Kuna de Wargandí,29
228,Chitré (Cabecera),30
229,La Arena,30
230,Monagrillo,30
231,Llano Bonito,30
232,San Juan Bautista,30
233,Las Minas (Cabecera),31
234,Chepo,31
235,Chumical,31
236,El Toro,31
237,Leones,31
238,Quebrada del Rosario,31
239,Quebrada El Ciprián,31
240,Los Pozos (Cabecera),32
241,Capurí,32
242,El Calabacito,32
243,El Cedro,32
244,La Arena,32
245,La Pitaloza,32
246,Los Cerritos,32
247,Los Cerros de Paja,32
248,Las Llanas,32
249,Ocú (Cabecera),33
250,Cerro Largo,33
251,Los Llanos,33
252,Llano Grande,33
253,Peñas Chatas,33
254,El Tijera,33
255,Menchaca,33
256,Entradero del Castillo,33
257,Parita (Cabecera),34
258,Cabuya,34
259,Los Castillos,34
260,Llano de la Cruz.,34
261,París,34
262,Portobelillo,34
263,Potuga,34
264,Pesé (Cabecera),35
265,Las Cabras,35
266,El Pájaro,35
267,El Barrero,35
268,El Pedregoso,35
269,El Ciruelo,35
270,Sabanagrande,35
271,Rincón Hondo,35
272,Santa María (Cabecera),36
273,Chupampa,36
274,El Rincón,36
275,El Limón,36
276,Los Canelos,36
277,Guararé (Cabecera),37
278,El Espinal,37
279,El Macano,37
280,Guararé Arriba,37
281,La Enea,37
282,La Pasera,37
283,Las Trancas,37
284,Llano Abajo,37
285,El Hato,37
286,Perales,37
287,Las Tablas (Cabecera),38
288,Bajo Corral,38
289,Bayano,38
290,El Carate,38
291,El Cocal,38
292,El Manantial,38
293,El Muñoz,38
